uni	Participant	uid
school0	1	0
school0	6	1
school0	7	2
school0	26	3
school0	29	4
school0	32	5
school0	40	6
school0	43	7
school0	51	8
school0	68	9
school0	81	10
school0	85	11
school0	87	12
school0	88	13
school0	96	14
school0	103	15
school0	104	16
school0	105	17
school0	106	18
school0	110	19
school0	111	20
school0	112	21
school0	113	22
school0	117	23
school0	118	24
school0	120	25
school0	126	26
school0	127	27
school0	129	28
school0	133	29
school0	134	30
school0	135	31
school0	138	32
school0	143	33
school0	144	34
school0	146	35
school0	147	36
school0	148	37
school0	149	38
school0	150	39
school0	151	40
school0	157	41
school0	161	42
school0	162	43
school0	164	44
school0	165	45
school0	168	46
school0	171	47
school0	176	48
school0	177	49
school0	178	50
school0	180	51
school0	185	52
school0	187	53
school0	190	54
school0	191	55
school0	196	56
school0	200	57
school0	201	58
school0	208	59
school0	211	60
school0	212	61
school0	213	62
school0	215	63
school0	216	64
school0	217	65
school0	219	66
school0	221	67
school0	222	68
school0	224	69
school0	227	70
school0	231	71
school0	232	72
school0	233	73
school0	234	74
school0	238	75
school0	241	76
school0	246	77
school0	248	78
school0	253	79
school0	261	80
school0	262	81
school0	263	82
school0	265	83
school0	266	84
school0	268	85
school0	269	86
school0	274	87
school0	282	88
school0	288	89
school0	290	90
school0	296	91
school0	297	92
school0	298	93
school0	301	94
school0	302	95
school0	303	96
school0	304	97
school0	305	98
school0	308	99
school0	310	100
school0	311	101
school0	312	102
school0	313	103
school0	314	104
school0	315	105
school0	316	106
school0	322	107
school0	324	108
school0	325	109
school0	326	110
school0	329	111
school0	330	112
school0	332	113
school0	333	114
school0	337	115
school0	341	116
school0	342	117
school0	343	118
school0	344	119
school0	347	120
school0	348	121
school0	349	122
school0	354	123
school0	356	124
school0	357	125
school0	358	126
school0	360	127
school0	361	128
school0	362	129
school0	363	130
school0	364	131
school1	1	132
school1	3	133
school1	5	134
school1	6	135
school1	8	136
school1	9	137
school1	10	138
school1	12	139
school1	13	140
school1	14	141
school1	15	142
school1	17	143
school1	19	144
school1	20	145
school1	22	146
school1	24	147
school1	25	148
school1	26	149
school1	27	150
school1	28	151
school1	29	152
school1	30	153
school1	32	154
school1	33	155
school1	34	156
school1	35	157
school1	36	158
school1	37	159
school1	38	160
school1	40	161
school1	41	162
school1	42	163
school1	43	164
school1	44	165
school1	45	166
school1	47	167
school1	48	168
school1	50	169
school1	51	170
school1	52	171
school1	53	172
school1	56	173
school1	57	174
school1	58	175
school1	59	176
school1	60	177
school1	61	178
school1	62	179
school1	63	180
school1	64	181
school1	65	182
school1	67	183
school1	68	184
school1	69	185
school1	70	186
school1	72	187
school1	73	188
school1	77	189
school1	78	190
school1	80	191
school1	82	192
school1	84	193
school1	85	194
school1	86	195
school1	88	196
school1	89	197
school1	91	198
school1	92	199
school1	93	200
school1	98	201
school1	99	202
school1	100	203
school1	102	204
school1	103	205
school1	105	206
school1	107	207
school1	108	208
school1	111	209
school1	113	210
school1	115	211
school1	116	212
school1	118	213
school1	120	214
school1	121	215
school1	122	216
school1	123	217
school1	124	218
school1	125	219
school1	126	220
school1	127	221
school1	128	222
school1	129	223
school1	130	224
school1	131	225
school1	132	226
school1	133	227
school1	134	228
school1	135	229
school1	136	230
school1	137	231
school1	138	232
school1	141	233
school1	142	234
school1	144	235
school1	145	236
school1	146	237
school1	148	238
school1	149	239
school1	151	240
school1	153	241
school1	154	242
school1	155	243
school1	156	244
school1	157	245
school1	158	246
school1	159	247
school1	224	248
school1	225	249
school1	226	250
school1	228	251
school1	229	252
school1	230	253
school1	231	254
school1	232	255
school1	233	256
school1	234	257
school1	236	258
school1	237	259
school1	238	260
school1	240	261
school1	241	262
school1	244	263
school1	246	264
school1	247	265
school1	248	266
school1	250	267
school1	251	268
school1	253	269
school1	254	270
school1	258	271
school1	259	272
school1	261	273
school1	262	274
school1	263	275
school1	264	276
school1	265	277
school1	268	278
school1	270	279
school1	271	280
school1	272	281
school1	273	282
school1	274	283
school1	275	284
school1	277	285
school1	278	286
school1	279	287
school1	280	288
school1	281	289
school1	282	290
school1	283	291
school1	284	292
school1	285	293
school1	286	294
school1	287	295
school1	290	296
school1	291	297
school1	292	298
school1	293	299
school1	295	300
school1	296	301
school1	301	302
school1	303	303
school1	304	304
school2	0	305
school2	1	306
school2	2	307
school2	3	308
school2	5	309
school2	6	310
school2	7	311
school2	10	312
school2	11	313
school2	12	314
school2	13	315
school2	14	316
school2	15	317
school2	16	318
school2	17	319
school2	18	320
school2	22	321
school2	23	322
school2	24	323
school2	27	324
school2	28	325
school2	29	326
school2	31	327
school2	32	328
school2	33	329
school2	34	330
school2	36	331
school2	37	332
school2	38	333
school2	39	334
school2	40	335
school2	41	336
school2	42	337
school2	44	338
school2	47	339
school2	48	340
school2	49	341
school2	50	342
school2	51	343
school2	52	344
school3	0	345
school3	1	346
school3	2	347
school3	3	348
school3	4	349
school3	5	350
school3	6	351
school3	7	352
school3	8	353
school3	10	354
school3	11	355
