uid	uni	participant	rank	identity	tags	Q3-g	Q3-l	Q3-b	Q3-quest	Q3-ace	Q3-queer	Q4-gq	Q4-t	Q4-i	Q4-m	Q4-f	cishet_problem	cishet_solution	cishet_victim	cishet_helpless	sgm_problem	sgm_solution	sgm_victim	sgm_helpless	school_problem	school_solution	school_victim	school_helpless	culture_problem	culture_solution	culture_victim	culture_helpless	community_problem	community_solution	community_victim	community_helpless	gender	cis	sexuality	dorms	Q9	Q34	Q37	Q40	q_crit	bad_apple	school_pess	homoneg	bad_apple2
0.0	school0	1	grad-pro	cishet	cishet_problem, sgm_victim, school_solution, 											Female	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	f	c	hetero	unknown	Some are		unknown	unknown	False	False	False	False	True
	school0	4	faculty	cishet											Male		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	m	c	hetero	unknown	Some are		unknown	unknown	False	False	False	False	False
1.0	school0	6	grad-pro	cishet	school_solution, 											Female	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	f	c	hetero	unknown	None are		unknown	unknown	False	False	False	False	False
2.0	school0	7	grad-pro	cishet	cishet_victim, school_solution, 										Male		False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	m	c	hetero	unknown	A few are		unknown	unknown	False	False	False	False	False
	school0	10	grad-pro	sgm		Gay									Male		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	m	c	gay	unknown	Some are	No	1	1	False	False	False	False	False
	school0	12	staff	unknown	cishet_problem, cishet_solution, school_solution, 											Female	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	f	c	unknown	unknown	Some are		unknown	unknown	False	False	False	False	True
	school0	14	staff	cishet											Male		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	m	c	hetero	unknown	A few are		unknown	unknown	False	False	False	False	False
	school0	15	grad-pro	sgm							Queer					Female	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	f	c	queer	unknown	A few are	Yes	1	0	False	False	False	False	False
	school0	16	staff	sgm	sgm_victim, school_problem, school_solution, school_helpless, 	Gay									Male		False	False	False	False	False	False	True	False	True	True	False	True	False	False	False	False	False	False	False	False	m	c	gay	unknown	Some are		unknown	unknown	False	False	True	False	False
	school0	17	staff	cishet												Female	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	f	c	hetero	unknown	Most are		unknown	unknown	False	False	False	False	False
	school0	22	faculty	cishet												Female	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	f	c	hetero	unknown	A few are		unknown	unknown	False	False	False	False	False
	school0	23	staff	cishet	community_solution, 											Female	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	f	c	hetero	unknown	Some are		unknown	unknown	False	False	False	False	False
	school0	25	grad-pro	cishet												Female	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	f	c	hetero	unknown	Many are		unknown	unknown	False	False	False	False	False
3.0	school0	26	grad-pro	unknown	school_solution, 										Male		False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	m	c	unknown	unknown	Some are		unknown	unknown	False	False	False	False	False
